Year,Month,Day,Hour,Minute,GHI,Clearsky GHI,Temperature,Wind Direction,Wind Speed
2012,1,1,0,0,0,0,21,210.4,1
2012,1,1,1,0,0,0,21,221.3,1.1
2012,1,1,2,0,0,0,20,229.3,1.2
2012,1,1,3,0,0,0,20,231.4,1.2
2012,1,1,4,0,0,0,20,228.5,1.2
2012,1,1,5,0,0,0,18,93.4,2.4
2012,1,1,6,0,0,0,19,89.9,2.4
2012,1,1,7,0,80,127,21,89,2.2
2012,1,1,8,0,134,330,23,93.2,2.2
2012,1,1,9,0,292,515,26,101.3,2.3
2012,1,1,10,0,321,654,28,111.9,2.5
2012,1,1,11,0,271,730,29,121.3,2.6
2012,1,1,12,0,284,735,30,127.8,2.9
2012,1,1,13,0,326,670,30,130.4,3.1
2012,1,1,14,0,140,541,29,131.8,3.3
2012,1,1,15,0,82,362,27,132.6,3.4
2012,1,1,16,0,50,160,25,132.2,3.2
2012,1,1,17,0,0,3,23,131.3,3.2
2012,1,1,18,0,0,0,22,129.7,3.2
2012,1,1,19,0,0,0,21,128.4,3.2
2012,1,1,20,0,0,0,21,128.7,3.1
2012,1,1,21,0,0,0,20,130.2,3
2012,1,1,22,0,0,0,19,132,3
2012,1,1,23,0,0,0,19,134.4,3
2012,1,2,0,0,0,0,18,137.2,2.9
2012,1,2,1,0,0,0,18,139.4,2.7
2012,1,2,2,0,0,0,18,137.6,2.4
2012,1,2,3,0,0,0,18,133.1,2.2
2012,1,2,4,0,0,0,19,128.8,2
2012,1,2,5,0,0,0,19,124.9,1.8
2012,1,2,6,0,0,0,19,121.6,1.7
2012,1,2,7,0,126,126,21,123.3,1.6
2012,1,2,8,0,330,330,23,130,1.7
2012,1,2,9,0,516,516,24,133.4,1.6
2012,1,2,10,0,655,655,26,136.8,1.5
2012,1,2,11,0,732,732,27,140.7,1.4
2012,1,2,12,0,739,739,28,145.2,1.4
2012,1,2,13,0,595,674,28,146.7,1.5
2012,1,2,14,0,221,545,27,147.1,1.6
2012,1,2,15,0,115,365,26,148.2,1.8
2012,1,2,16,0,120,162,25,148,1.9
2012,1,2,17,0,1,4,24,145.6,2.1
2012,1,2,18,0,0,0,23,142.4,2.2
2012,1,2,19,0,0,0,22,140.5,2.3
2012,1,2,20,0,0,0,22,140.4,2.3
2012,1,2,21,0,0,0,21,140.4,2.3
2012,1,2,22,0,0,0,21,141.8,2.2
2012,1,2,23,0,0,0,20,141.9,2.1
2012,1,3,0,0,0,0,20,140.6,1.9
2012,1,3,1,0,0,0,19,137.6,1.9
2012,1,3,2,0,0,0,19,135.9,1.7
2012,1,3,3,0,0,0,19,133.6,1.5
2012,1,3,4,0,0,0,19,131.5,1.3
2012,1,3,5,0,0,0,19,131.6,1.3
2012,1,3,6,0,0,0,19,135.4,1.2
2012,1,3,7,0,118,126,21,150,1
2012,1,3,8,0,332,332,24,176.6,0.9
2012,1,3,9,0,520,520,26,206.3,0.9
2012,1,3,10,0,646,662,28,228.5,1.2
2012,1,3,11,0,740,740,28,240.9,1.4
2012,1,3,12,0,747,747,29,250.2,1.5
2012,1,3,13,0,682,682,28,258.1,1.5
2012,1,3,14,0,552,552,28,263.4,1.4
2012,1,3,15,0,371,371,27,269,1.2
2012,1,3,16,0,166,166,25,277.6,1
2012,1,3,17,0,1,5,24,288.7,0.7
2012,1,3,18,0,0,0,24,312.1,0.3
2012,1,3,19,0,0,0,24,83.4,0.2
2012,1,3,20,0,0,0,23,103.5,0.4
2012,1,3,21,0,0,0,23,103.3,0.6
2012,1,3,22,0,0,0,22,102.1,0.7
2012,1,3,23,0,0,0,22,103,0.8
2012,1,4,0,0,0,0,22,106.5,0.9
2012,1,4,1,0,0,0,22,107.7,0.9
2012,1,4,2,0,0,0,21,109.4,0.9
2012,1,4,3,0,0,0,21,114.9,0.9
2012,1,4,4,0,0,0,21,122.5,1
2012,1,4,5,0,0,0,21,129.7,1
2012,1,4,6,0,0,0,21,135.4,0.9
2012,1,4,7,0,123,127,22,152.2,0.6
2012,1,4,8,0,243,333,25,215.8,0.4
2012,1,4,9,0,523,523,27,266.4,0.5
2012,1,4,10,0,544,665,28,286.2,0.5
2012,1,4,11,0,637,744,29,291.7,0.5
2012,1,4,12,0,723,752,30,291.2,0.4
2012,1,4,13,0,688,688,30,286.3,0.3
2012,1,4,14,0,559,559,29,277.3,0.3
2012,1,4,15,0,377,377,28,272,0.4
2012,1,4,16,0,170,170,25,268.8,0.5
2012,1,4,17,0,1,5,25,266.6,0.4
2012,1,4,18,0,0,0,25,248.2,0.2
2012,1,4,19,0,0,0,24,168.2,0.2
2012,1,4,20,0,0,0,24,160.7,0.4
2012,1,4,21,0,0,0,24,171.9,0.6
2012,1,4,22,0,0,0,23,181.9,0.7
2012,1,4,23,0,0,0,23,189.4,0.8
2012,1,5,0,0,0,0,22,192.1,0.9
2012,1,5,1,0,0,0,22,192.5,1
2012,1,5,2,0,0,0,21,194.9,0.9
2012,1,5,3,0,0,0,21,197.3,0.9
2012,1,5,4,0,0,0,20,197.6,0.8
2012,1,5,5,0,0,0,20,198.2,0.9
2012,1,5,6,0,0,0,20,201.1,0.9
2012,1,5,7,0,127,127,23,217.4,0.9
2012,1,5,8,0,335,335,26,235.9,1.2
2012,1,5,9,0,526,526,28,242.3,1.4
2012,1,5,10,0,669,669,29,245.9,1.4
2012,1,5,11,0,749,749,29,247.5,1.5
2012,1,5,12,0,757,757,29,246.9,1.5
2012,1,5,13,0,692,692,28,246.3,1.5
2012,1,5,14,0,562,562,28,247.9,1.5
2012,1,5,15,0,381,381,27,249.9,1.5
2012,1,5,16,0,173,173,26,251.8,1.5
2012,1,5,17,0,1,6,24,247.2,1.5
2012,1,5,18,0,0,0,24,240.9,1.4
2012,1,5,19,0,0,0,23,235.9,1.3
2012,1,5,20,0,0,0,23,234.3,1.2
2012,1,5,21,0,0,0,22,235.7,1.2
2012,1,5,22,0,0,0,22,237.5,1.2
2012,1,5,23,0,0,0,21,239.8,1.3
2012,1,6,0,0,0,0,21,243.5,1.3
2012,1,6,1,0,0,0,20,247.4,1.4
2012,1,6,2,0,0,0,20,248.4,1.2
2012,1,6,3,0,0,0,20,243.1,1.1
2012,1,6,4,0,0,0,20,230,0.9
2012,1,6,5,0,0,0,20,213.3,0.8
2012,1,6,6,0,0,0,20,198.3,0.8
2012,1,6,7,0,127,127,22,188.9,0.7
2012,1,6,8,0,337,337,26,208.4,0.8
2012,1,6,9,0,529,529,28,212.5,0.8
2012,1,6,10,0,674,674,29,211.8,0.8
2012,1,6,11,0,754,754,30,210.9,0.9
2012,1,6,12,0,763,763,30,211,1.1
2012,1,6,13,0,698,698,30,213.3,1.1
2012,1,6,14,0,568,568,29,218.9,1.2
2012,1,6,15,0,385,385,28,223.1,1.2
2012,1,6,16,0,176,176,26,226.5,1.3
2012,1,6,17,0,1,7,25,224.6,1.3
2012,1,6,18,0,0,0,24,213.4,1.3
2012,1,6,19,0,0,0,23,196,1.4
2012,1,6,20,0,0,0,22,184.9,1.7
2012,1,6,21,0,0,0,22,180.1,2.1
2012,1,6,22,0,0,0,21,177.2,2.3
2012,1,6,23,0,0,0,20,174.7,2.5
2012,1,7,0,0,0,0,19,173.3,2.5
2012,1,7,1,0,0,0,19,172.4,2.5
2012,1,7,2,0,0,0,18,171.2,2.3
2012,1,7,3,0,0,0,18,169.8,2.3
2012,1,7,4,0,0,0,17,168.7,2.2
2012,1,7,5,0,0,0,17,167.2,2.1
2012,1,7,6,0,0,0,18,165.9,2.2
2012,1,7,7,0,126,126,21,167.5,2
2012,1,7,8,0,336,336,24,176.6,2.5
2012,1,7,9,0,528,528,27,184.7,2.7
2012,1,7,10,0,672,672,29,191.4,2.7
2012,1,7,11,0,752,752,30,198,2.7
